record_id,name,category,region,year,score,value
1001377,Mia Demir,clothing,Black Sea,2018,34,6488.37
1000275,Layla Kaya,clothing,Marmara,2018,100,6486.47
1000540,Emre Silva,automotive,Eastern,2020,23,7100.4
1000086,Priya Garcia,furniture,Central,2020,41,8940.07
1001799,Ayse Smith,clothing,Mediterranean,2023,26,4813.49
1001419,Ali Arslan,books,Marmara,2021,4,9892.99
1000722,Lucas Demir,furniture,Marmara,2017,74,5963.65
1000573,Can Ozturk,sports,Black Sea,2017,80,6125.08
1000109,Emre Patel,furniture,Central,2019,44,2868.34
1000003,Fatma Smith,electronics,Mediterranean,2018,92,6533.21
1000029,Layla Celik,furniture,Aegean,2016,44,308.22
1000858,Yuki Yilmaz,books,Eastern,2021,55,3715.78
1001594,Noah Smith,sports,Aegean,2019,3,5419.61
1000522,Layla Kaya,clothing,Mediterranean,2021,93,4010.09
1000055,Sara Kaya,electronics,Central,2017,82,9799.02
1001342,Layla Kaya,sports,Mediterranean,2021,9,1107.99
1000042,Yuki Lee,electronics,Eastern,2020,8,596.36
1001494,Fatma Patel,sports,Eastern,2021,8,9812.33
1001972,Amina Tanaka,furniture,Mediterranean,2023,72,8774.44
1000494,Sara Andersen,books,Black Sea,2022,66,3664.87
1000513,Lena Silva,books,Mediterranean,2020,99,2155.39
1001926,Fatma Lee,furniture,Marmara,2015,3,7574.95
1000657,Priya Khan,sports,Southeastern,2023,41,7146.84
1001010,Omar Arslan,clothing,Mediterranean,2015,50,6640.61
1001341,Can Kaya,food,Central,2016,17,713.76
1000344,Lena Garcia,electronics,Central,2020,89,2439.16
1000293,Nina Ozturk,clothing,Aegean,2024,93,9028.91
1001758,Lena Yilmaz,clothing,Aegean,2020,59,1504.01
1000241,Ivan Khan,electronics,Eastern,2020,99,6217.89
1000781,Emre Garcia,toys,Central,2023,63,7769.19
1001605,Amina Dubois,electronics,Southeastern,2015,14,5468.92
1001539,Lena Yilmaz,books,Marmara,2018,12,1734.45
1000537,Lena Kaya,electronics,Aegean,2024,91,9179.6
1001018,Carlos Kaya,furniture,Eastern,2017,2,1805.09
1000726,Hassan Ozturk,furniture,Southeastern,2021,77,1512.71
1002000,Priya Patel,furniture,Eastern,2017,97,7406.56
1001211,Elif Khan,clothing,Black Sea,2016,32,7704.94
1000005,Elif Ozturk,food,Central,2019,20,2231.39
1001935,Ali Tanaka,electronics,Black Sea,2021,48,7649.97
1000910,Noah Tanaka,books,Southeastern,2021,71,742.7
1000471,Layla Demir,electronics,Eastern,2020,16,9881.75
1001066,Ayse Patel,toys,Black Sea,2022,95,6481.73
1001505,Lucas Sahin,food,Aegean,2015,16,2484.23
1001082,Fatma Andersen,furniture,Southeastern,2019,26,323.21
1001287,Omar Garcia,automotive,Marmara,2017,19,7858.76
1001529,Lena Johnson,clothing,Southeastern,2018,36,197.64
1001878,Ivan Khan,books,Central,2022,78,2380.23
1000568,Wei Yilmaz,books,Black Sea,2023,51,5564.78
1001651,Murat Demir,clothing,Southeastern,2019,71,8687.72
1000066,Ivan Muller,electronics,Marmara,2019,23,5847.26
1001883,Sara Lee,automotive,Eastern,2016,17,8706.77
